flag	content
OPTIONS_OPTIONS	Optionen
OPTIONS_CONTROLS	Steuerung
OPTIONS_COLORS	Farben
OPTIONS_MODS	Mods
OPTIONS_PREFERENCES	Präferenz
OPTIONS_CUTSCENES	Zwischensequenze
OPTIONS_NAUGHTYNESS	Unzensierung
OPTIONS_DOWNSCROLL	Unteres scroll
OPTIONS_MIDDLESCROLL	Mittleres scroll
OPTIONS_FLASHING_MENU	Flackerndes Menü
OPTIONS_CAMERA_ZOOMING_ON_BEAT	Camera Zooming auf Beat
OPTIONS_FPS_COUNTER	FPS Zähler
OPTIONS_AUTO_PENIS	Automatischer Penis
OPTIONS_AUTO_PAUSE	Automatische Pause
OPTIONS_KEYBOARD	Tastatur
OPTIONS_GAMEPAD	Gamepad
OPTIONS_UI	Oberfläche
OPTIONS_NOTES	NOTES
OPTIONS_OK	Ok
OPTIONS_YES	Ja
OPTIONS_NO	Nein
